quizId,questionId,question,studentId,answer
1,2,"What is the ""nick name"" for the inventors of UML?",24,
1,2,"What is the ""nick name"" for the inventors of UML?",25,Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",26,Three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",27,3 Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",28,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",29,ivar jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",30,Three Musketeers
1,2,"What is the ""nick name"" for the inventors of UML?",31,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",32,3 Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",33,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",34,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",35,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",36,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",37,Ivar
1,2,"What is the ""nick name"" for the inventors of UML?",38,3 Amgoes
1,2,"What is the ""nick name"" for the inventors of UML?",39,Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",40,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",41,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",42,Ivar Jacobson\Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",43,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",44,
1,2,"What is the ""nick name"" for the inventors of UML?",45,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",46,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",47,the three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",48,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",49,the Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",50,
1,2,"What is the ""nick name"" for the inventors of UML?",51,River Hawks
1,2,"What is the ""nick name"" for the inventors of UML?",52,3 AMIGOS
1,2,"What is the ""nick name"" for the inventors of UML?",53,
1,2,"What is the ""nick name"" for the inventors of UML?",54,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",55,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",56,Have no idea
1,2,"What is the ""nick name"" for the inventors of UML?",57,Booch
1,2,"What is the ""nick name"" for the inventors of UML?",58,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",59,The 3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",60,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",61,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",62," Grady Booch, Ivar Jacobson, James Rumbaugh"
1,2,"What is the ""nick name"" for the inventors of UML?",63,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",64,3 amigos
1,2,"What is the ""nick name"" for the inventors of UML?",65,The three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",66,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",67,Ivor Jacobson
1,2,"What is the ""nick name"" for the inventors of UML?",68,Ivar
1,2,"What is the ""nick name"" for the inventors of UML?",69,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",70,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",71,Ivy
1,2,"What is the ""nick name"" for the inventors of UML?",72,the three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",73,The Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",74,three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",75,Three Amigos
1,2,"What is the ""nick name"" for the inventors of UML?",76,river hawks
1,2,"What is the ""nick name"" for the inventors of UML?",77,three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",78,Grady booch
1,2,"What is the ""nick name"" for the inventors of UML?",79,The three amigos
1,2,"What is the ""nick name"" for the inventors of UML?",80,amigos
1,2,"What is the ""nick name"" for the inventors of UML?",81,Three Amigos
